title,text
David Courtney,"David Courtney (born David Cohen) is a British singer-songwriter and record producer.  Courtney's first big break was as a songwriter with Adam Faith and Leo Sayer; Courtney co-wrote several hit songs with them (including ""Giving it All Away"", recorded by both Sayer and Roger Daltrey) and he co-produced Faith's 1974 album, ""I Survive"".  He released one album of his own on United Artists in 1974 entitled ""David Courtney's First Day"" which had some success on both sides of the Atlantic, and peaked at number 194 on the US ""Billboard"" 200."
American Record Corporation,"American Record Corporation (ARC), also referred to as American Record Company, American Recording Corporation, or (erroneously) as ARC Records, was an American record company.  It resulted from the merger in 1929 of three companies: the Cameo Record Corporation (which owned Cameo, Lincoln and Romeo Records), the Pathé Phonograph and Radio Corporation (which owned Actuelle, Pathé, and Perfect), and the Plaza Music Company (which owned Banner, Domino, Jewel, Oriole, and Regal)."
Why (board game),"Why is a board game from the late 1950s created by the Milton Bradley Company based on the television show Alfred Hitchcock Presents.  The game is no longer produced.  There are two different releases of the game: the original 1958 release and the 1967 release, differing only in the box art."
Adam's Hit Parade,"Adam's Hit Parade is an EP by Adam Faith, released in December 1960.  The EP is a 7-inch vinyl record and released in mono with the catalogue number Parlophone Company, Ltd. GEP 8811.  ""Adam""s Hit Parade has the distinction of being the UK's number-one EP Number 1 EP on three different occasions.  It first reached the number on spot on December 17, 1960, but was bumped out a week later by Cliff Richard and The Shadows's ""Cliff's Silver Discs."" .  On January 21, 1961 Faith reclaimed the top spot, only to be evicted a week later by the Shadows' ""The Shadows (EP)"" EP which held the top slot until Faith regained it for a week on May 27, 1961."
Timex Sinclair 1000,"The Timex Sinclair 1000 (TS1000) was the first computer produced by Timex Sinclair, a joint venture between Timex Corporation and Sinclair Research.  It was launched in July 1982, with a US sales price of US$99.95, making it the cheapest home computer to date; it was advertised as ""the first computer under $100"".  The computer was aimed at regular home users.  Unlike earlier computers aimed at home users, the TS1000 was not a kit which had to be soldered and assembled.  As purchased, the TS1000 was fully assembled and ready to be plugged into the users' home TV (which served as a video monitor).  The TS1000 was a slightly-modified version of the Sinclair ZX81 with an NTSC RF modulator, designed for use with North American TVs, instead of the UK PAL RF modulator which was used for units sold in Portugal.  The TS1000 doubled the onboard RAM from 1 KB to 2 KB.  The TS1000's casing had slightly more internal shielding but remained the same as Sinclair's, including the membrane keyboard.  It had black-and-white graphics and no sound.  It was followed by an improved version, the Timex Sinclair 1500 which had substantially more RAM (16 KB) and a lower price (US$80).  However, the TS1500 did not achieve market success, given that the marketplace was by this time dominated by Commodore, RadioShack, Atari and Apple."
Wave Mate Bullet,"The Wave Mate Bullet was a Z80 single-board computer from the late 1970s and early 1980s which used the CP/M operating system.  This computer is rarely seen now but has historical value as an early microcomputer pioneer.  It was sold in Australia, the United States and Europe and was apparently popular in academic settings."
Tony Tebby,"Tony Tebby is probably most famous for designing Qdos, the computer operating system used in the Sinclair QL personal computer, whilst working as an engineer at Sinclair Research in the early 1980s.  He left Sinclair Research in 1984 in protest at the premature launch of the QL, and formed QJUMP Ltd., a software house specializing in system software and utilities for the QL, based in Rampton, Cambridgeshire, England."
Sinclair Research,"Sinclair Research Ltd is a British consumer electronics company founded by Clive Sinclair in Cambridge.  It was originally incorporated in 1973 as Westminster Mail Order Ltd, renamed Sinclair Instrument Ltd, then Science of Cambridge Ltd, then Sinclair Computers Ltd, and finally Sinclair Research Ltd in 1975.  It remained dormant until 1976, when it was activated with the intention of continuing Sinclair's commercial work from his earlier company Sinclair Radionics, and adopted the name Sinclair Research in 1981."
ZX81,"The ZX81 is a home computer produced by Sinclair Research and manufactured in Scotland by Timex Corporation.  It was launched in the United Kingdom in March 1981 as the successor to Sinclair's ZX80 and was designed to be a low-cost introduction to home computing for the general public.  It was hugely successful, and more than 1.5 million units were sold before it was discontinued.  The ZX81 found commercial success in many other countries, notably the United States, where it was initially sold as the ZX-81.  Timex manufactured and distributed it under licence and enjoyed a substantial but brief boom in sales.  Timex later produced its own versions of the ZX81 for the US market – the Timex Sinclair 1000 and Timex Sinclair 1500.  Unauthorised clones of the ZX81 were produced in several countries."
Jim Westwood,"Jim Westwood was the chief engineer at Sinclair Research Ltd in the 1980s, starting at the company in 1963.  Westwood was the technical mastermind behind many of Sinclair's products and worked there for more than twenty years.  Sir Clive Sinclair and Westwood shared a connection even before they met when Westwood had previously worked at an electronics store in London which was owned by Bernard Babani, Sinclair's publisher.  This gave Westwood a good degree of familiarity with Sinclair's designs, which prompted him to join Sinclair's fledgling company, Sinclair Radionics.  Westwood subsequently had a hand in most of the company's products, including the calculators, audio equipment, ZX Spectrum computers and TV80.  He is still designing hardware for Amino Communications, and is a partner in Cambridge Electronics Consultancy."
Timex Sinclair,"Timex Sinclair was a joint venture between the British company Sinclair Research and Timex Corporation in an effort to gain an entry into the rapidly growing early-1980s home computer market in North America.  The choice of partnership was natural, as Timex was already the main contractor for manufacture of Sinclair's ZX81 and ZX Spectrum computers at its Scottish plant in Dundee.  It was Timex of Portugal, though, that took on the R&D and the local manufacturing of the models to be exported to the U.S. Although both Timex of Scotland and Timex of Portugal were full subsidiaries of Timex, internal rivalry, whether unintended or purported, meant there was little sharing between the two plants.  Timex of Portugal also sold the Timex Sinclair models in Portugal and Poland under the Timex Computer brand."
Sinclair Programs,"Sinclair Programs was a magazine published in the United Kingdom, initially by ECC Publications of London and subsequently by EMAP.  It was dedicated entirely to listings for programs for the Sinclair Research ZX80, ZX81 and ZX Spectrum computers, contributed by readers.  The magazine was one of three launched in 1982 by ECC, the other two being ""Sinclair User"" and ""Sinclair Projects"", the latter dedicated to hardware projects for the Sinclair computers.  The magazine was published between May/June 1982 and September 1985."
Nigel Searle,"Nigel Searle was the managing director of Sinclair Research Ltd, and one of the company's longest-serving employees.  He joined Sinclair Radionics in 1973, and for most of the 1970s, Searle worked for Sinclair in the United States to promote the company's calculators and other products.  In 1977, with Sinclair in financial trouble, Searle left the company.  He rejoined in 1979 when Sir Clive Sinclair formed Science of Cambridge (later renamed Sinclair Research) and continued to work from the US, successfully promoting the ZX80 and ZX81 personal computers.  In spring 1982, he moved back to the United Kingdom as Sinclair's managing director, a post he retained until 1986 when Amstrad took over the company's computer business."
Sinclair BASIC,Sinclair BASIC is a dialect of the programming language BASIC used in the 8-bit home computers from Sinclair Research and Timex Sinclair.  The Sinclair BASIC interpreter was made by Nine Tiles Networks Ltd.
The Agents (English band),"The Agents were a post-punk band formed in 1980 in Bristol, England.  The band formed from the remnants of several bands that were playing the American Military bases circuit in Europe in the 1970s.  The band were based in Mannheim, Germany and the lineup consisted of vocalist Swig (real name Richard Snow), guitarist Dave Libby, bassist Larry Burr and drummer Nick Bahra.  The band were known for an exciting live act and built up a big following in Europe.  In 1981 they released ""Everybody's Gonna Be Happy"", a single printed in green vinyl with a gatefold sleeve.  The album (of the same name), release the same year on Teldec, produced by Ingo Schantz."
"Not Richard, But Dick","Not Richard, But Dick is the seventh studio album by The Dead Milkmen, released in 1993 by Hollywood Records.  After being out of print for years, Hollywood Records decided to release the album for digital download as of April 2, 2013."
Electric Guitars,"Electric Guitars were an English band formed early in 1980 by Neil Davenport (vocals, lyrics) and Richard Hall (bass, vocals) who were both studying English at Bristol University.  The band soon increased to a five-man line-up, with Andy Saunders (guitar, vocals), Matt Salt (drums) and Dick Truscott (keyboards), they also later added two backing singers: Sara and Wendy Patridge.  Their first single ""Health"" / ""Continental Shelf"" was released on local label Fried Egg Records in 1980."
Onyx (Cornish band),"The Onyx or Onyx is a psychedelic rock band formed in Wadebridge, Cornwall, UK in 1965.  Out of the ashes of Rick & The Hayseeds the band came to be known as The Onyx Set, named after an Onyx ring owned by original band member Mike Black-Borow.  After various changes in the line-up they shortened their name to The Onyx and the classic line-up was formed.  The band members were: guitarist Alan Hodge, who had previously played with various local bands such as The Buccaneers and The Fabulous Jaguars, vocalist Tony Priest, bassist Dick Bland, keyboard player Steve Cotton and drummer Roger Dell."
The J. Geils Band,"The J. Geils Band was an American rock band formed in 1968, in Worcester, Massachusetts, under the leadership of guitarist John ""J."" Geils.  The other band members included vocalist Peter Wolf, harmonica player Richard ""Magic Dick"" Salwitz, drummer Stephen Bladd, vocalist/keyboardist Seth Justman and bassist Danny Klein.  Wolf and Justman served as principal songwriters.  The band played R&B-influenced blues rock during the 1970s and soon achieved commercial success before moving towards a more mainstream radio-friendly sound in the early 1980s, which brought the band to its commercial peak.  After Wolf left the band in 1983 to pursue a solo career, the band released one more album in 1984 with Justman on lead vocals before breaking up in 1985.  Beginning in 1999, the band had several reunions prior to the death of its namesake founder J. Geils on April 11, 2017."
The Dead Milkmen,"The Dead Milkmen are an American punk rock band formed in 1983 in Philadelphia, Pennsylvania.  Their original lineup consisted of vocalist and keyboardist Rodney Linderman (""Rodney Anonymous""), guitarist and vocalist Joe Genaro (""Joe Jack Talcum""), bassist Dave Schulthise (""Dave Blood"") and drummer Dean Sabatino (""Dean Clean"")."
RPA &amp; The United Nations of Sound,"RPA & The United Nations of Sound are a British alternative rock band formed by vocalist Richard Ashcroft, former lead singer of The Verve.  Ashcroft announced the formation of the band (which is a pseudonym more than a real band) and presented the video of the first single, ""Are You Ready?"" , on 18 January 2010 in an exclusive premiere on the ""NME"" website.  ""Are You Ready?""  was released only in the UK on 1 April 2010 in a limited edition 12"" vinyl.  On 9 April 2010 the band released a fanclub-only track, ""Third Eye (Colombus Circle)"".  In the first two weeks of June Ashcroft and his musicians completed a European tour (Ancona, Paris, Berlin, Cologne, Amsterdam, Manchester and London), then they played in Tokyo and Osaka on 7–8 August 2010 during the Summer Sonic Festival 2010 and also in Melbourne and Sydney respectively on 30 July and 31 July.  The band played in Australia also during the Splendour in the Grass Festival in late July.  The band's debut album as Richard's backing lineup, entitled ""United Nations of Sound"", was released on 19 July 2010.  ""Born Again"", the first proper single, was officially released the same day of the album as a digital download."
SWMRS,"SWMRS (formerly Emily's Army) is an American punk rock band formed in Oakland, California in 2004 by Cole Becker and Joey Armstrong, with Cole's brother Max joining only a few weeks afterwards.  They drew on a mix of influences ranging from the Beach Boys to the Ramones to create their own brand of rock.  The band added Travis Neumann in 2009, who later left in 2014 due to creative differences.  The band released a demo and a string of EPs from 2008 to 2010.  The band released their first album, ""Don't Be a Dick"", on June 14, 2011.  The band's second album, ""Lost at Seventeen"", was released on June 11, 2013.  They added Sebastian Mueller as the bassist 2014.  The band's third studio album, and their first under the name SWMRS after dropping their former name, ""Drive North"", was released February 12, 2016, via Uncool Records. "" Drive North"" was later re-released and remastered after the band was signed to record label Fueled By Ramen on October 13, 2016."
Dick Delicious and The Tasty Testicles,"Dick Delicious and The Tasty Testicles are a comedy / metal band from Atlanta, Georgia.  The band formed in 1992 and released 3 albums between 1995 and 2003.  In 2003 the Dick Delicious received the ""Howard Stern Award for Musical Excellence"" and broke up shortly afterward."
Teddy and the Pandas,"Teddy and the Pandas were an American garage rock band formed in 1963 as the Sensations in Beverly, Massachusetts.  The band originally consisted of Al Lawrence on vocals, Billy Corelle on bass guitar, Ralph Cooper on drums, Joe Daly on lead guitar, and Dick Winters on saxophone.  Shortly thereafter, the group added Dick Guerrette on keyboards, and guitarist William ""Teddy"" Dewart, while Winters moved on.  In 1964, Jerry Labrecque replaced drummer Ralph Cooper, finalizing the line-up that was to become known as Teddy and The Pandas."
1989–90 UCLA Bruins men's basketball team,"The 1989–90 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 1989–90 NCAA Division I men's basketball season.  The Bruins started the season ranked 13th in the AP Poll.  Jim Harrick in his second year as head coach for the Bruins, led them to a 4th place in the Pac-10.  UCLA went on to the NCAA Tournament where they advanced to the Sweet Sixteen, before losing to Duke 81-90."
1983–84 UCLA Bruins men's basketball team,"The 1983–84 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 1983–84 NCAA Division I men's basketball season.  The Bruins started the season ranked 9th in the nation (AP Poll).  On January 28, the Bruins hosted #2 Depaul, losing 68-84.  UCLA beat the #13 (AP Poll) Washington Huskies 73-59, on March 1 for their biggest win of the season.  UCLA's team finished 4th in the Pac-10 and was unranked in the final AP and coaches polls.  This was Larry Farmer's third and final year as head coach of the UCLA Bruins.  The team did not qualify for the NCAA Men's Division I Basketball Championship, and declined an invitation to the National Invitation Tournament."
1997–98 Kentucky Wildcats men's basketball team,"The 1997–98 Kentucky Wildcats men's basketball team were coached by Tubby Smith.  He was in his first season as head coach after taking over from Rick Pitino.  The team finished the season with a 29–4 record and won the NCAA Men's Division I Basketball Championship over the Utah Utes, 78–69."
1987–88 UCLA Bruins men's basketball team,"The 1987–88 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 1987–88 NCAA Division I men's basketball season.  UCLA hosted the #12 Temple Owls and the #4 North Carolina Tarheels.  UCLA lost their home game to the #3 Wildcats 76-78 in overtime.  The Bruins finished tied for second place in the Pac-10 behind Arizona.  In the Pac-10 Tournament UCLA was upset in their first game vs. Washington St. The Bruins did not play in any post season tournaments after that for the first time in four years.  Walt Hazzard who had played for UCLA under John Wooden, coached for his fourth and final year at UCLA (the longest tenure at this point of any post-Wooden coach)."
2000–01 UCLA Bruins men's basketball team,"The 2000–01 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 2000–01 NCAA Division I men's basketball season.  The team finished 3rd in the Pacific-10 Conference with a 14-4 conference record, 23-9 overall.  The Bruins competed in the 2001 NCAA Men's Division I Basketball Tournament, losing to the eventual champion Duke Blue Devils in the sweet sixteen."
1997–98 UCLA Bruins men's basketball team,"The 1997–98 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 1997–98 NCAA Division I men's basketball season.  The team finished 3rd in the conference.  The Bruins competed in the 1998 NCAA Men's Division I Basketball Tournament, losing to the Kentucky Wildcats in the sweet sixteen.  This was the second season for head coach Steve Lavin.  Seniors Toby Bailey, J.R. Henderson, and Kris Johnson were honored as the team's co-Most Valuable Players. Johnson led UCLA in scoring with an 18.4 average, 21.1 in Pac-10 play.  Baron Davis was the prize recruit of the incoming freshman class.  Fellow Los Angeles prep star Schea Cotton had also committed to UCLA, but the NCAA invalidated his SAT scores, and he was not allowed to enroll."
1999–2000 UCLA Bruins men's basketball team,"The 1999–2000 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 1999–2000 NCAA Division I men's basketball season.  The team finished 4th in the conference.  The Bruins competed in the 2000 NCAA Men's Division I Basketball Tournament, losing to the Iowa State Cyclones in the sweet sixteen."
1992–93 UCLA Bruins men's basketball team,"The 1992–93 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 1992–93 NCAA Division I men's basketball season.  The Bruins began the season ranked 24th in the AP Poll.  The team finished 3rd in the conference.  The Bruins competed in the 1993 NCAA Men's Division I Basketball Tournament.  The UCLA Bruins beat Iowa State in the first round, 81-70, and lost to Michigan in the second round, 84-86."
2001–02 UCLA Bruins men's basketball team,"The 2001–02 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 2001–02 NCAA Division I men's basketball season.  The team finished 6th in the conference and lost in the first round of the Pac-10 tournament to the California Golden Bears.  The Bruins competed in the 2002 NCAA Men's Division I Basketball Tournament, losing to the Missouri Tigers in the sweet sixteen."
2005–06 UCLA Bruins men's basketball team,"The 2005–06 UCLA Bruins men's basketball team represented the University of California, Los Angeles in the 2005–06 NCAA Division I men's basketball season.  The UCLA Bruins finished the regular season with a 14–4 record in conference play.  After winning the Pac-10 Tournament, the Bruins conference record was 17–4.  The team reached the 2006 NCAA Men's Division I Basketball Tournament championship game, losing to the Florida Gators.  The Bruins finished with 32 wins (14 more than the previous season)."
Battle of Nanchang,The Battle of Nanchang () was a major battle between the Chinese National Revolutionary Army and the Japanese Imperial Japanese Army in the Second Sino-Japanese War.  It was the first major conflict to occur following the Battle of Wuhan.
Order of battle,"In modern use, the order of battle of an armed force participating in a military operation or campaign shows the hierarchical organization, command structure, strength, disposition of personnel, and equipment of units and formations of the armed force.  Various abbreviations are in use, including OOB, O/B, or OB, while ORBAT remains the most common in the United Kingdom.  An order of battle should be distinguished from a table of organisation, which is the intended composition of a given unit or formation according to the military doctrine of its armed force.  As combat operations develop during a campaign, orders of battle may be revised and altered in response to the military needs and challenges.  Also the known details of an order of battle may change during the course of executing the commanders' after action reports and/or other accounting methods (e.g. despatches) as combat assessment is conducted."
Chinese people in Algeria,"The Chinese in Algeria are a group of Chinese nationals numbering an estimated 40,000 people residing in Algeria.  The recent migration of Chinese to Algeria is driven by commerce with most Chinese nationals working on infrastructure projects."
Chinese people in Germany,"Chinese people in Germany form one of the smaller and less-studied groups of overseas Chinese in Europe, consisting mainly of Chinese expatriates living in Germany and German citizens of Chinese descent.  In 2013, there were nearly 107,000 Chinese nationals living in Germany (101,030 of the People's Republic of China and 5,885 citizens of Taiwan).  This number excludes those who have received German citizenship as well as ethnic Chinese from countries such as Singapore, Malaysia and Indonesia."
Persecution of Chinese people in Nazi Germany,"Although spared from genocide, Chinese people in Germany was still subject to large-scale and systematic persecution in Nazi Germany.  Especially after the collapse of the Sino-German Cooperation due to the start of World War II in Europe, many Chinese nationals in Germany were forced to leave the country due to increasing government surveillance and coercions.  After the Chinese declaration of war on Germany following the Attack on Pearl Harbor in 1941, the Gestapo launched multiple mass arrests of Chinese Germans and Chinese nationals across Germany, and concentrated the majority of them in in Wilhelmsburg, Hamburg, using them as slave labourers; many were killed by the Gestapo's torture or forced labour.  By the end of World War II, the pre-war Chinese communities in Berlin, Hamburg and Bremen were all destroyed, and there was virtually no Chinese presence left in Germany."
Chinese in Samoa,"The majority of Chinese nationals currently residing in Samoa are businessmen, labour workers and shopowners in the south western island nation of Samoa, and there are at least 30,000 people in Samoa who are of mixed Samoan and Chinese descent, although they are classified as ethnic Samoans in official census.  Around the world, about 25% of all Samoans claim Chinese ancestry.  Nearly all Chinese nationals in Samoa reside within the Apia municipal area; neighbouring American Samoa, also has a small population of Chinese expatriates.  Samoas Legislative Capital city of Apia signed a treaty on 31:08:2015 with a delegation from Shenzhen, China making the Legislative capital of Apia and The city of Shenzhen, Guangdong, China sister cities.  The treaty will help bring Chinese tourists to boast Samoas growing Tourism industry and will also bring economic growth to Samoa also bringing stronger ties between the two cities.  Shenzhen Airlines is also set to operate flights from Shenzhen International airport and Faleolo International Airport, Apia.  The Chinese community in Samoa is growing and becoming economically strong.  A new wave of Chinese migrants moving to Samoa are coming from the northern region, bringing their culture and languages with them.  There are no Chinese schools in Samoa but an estimated 98.7% of Chinese expatriates and migrants send their children and youth to Robert Louis Stevenson School, Samoa which is a private school with an Australasian and Samoan curriculum, the tuition fee is WST700-845.  There is a primary campus located in the village of Lotopa, Faleata District and the secondary campus in the urban village of Tafaigata.  Notable Chinese businesses include Frankie's Supermarket and Wholesale, Alan wholesale and Treasure Garden company as well as other small businesses and restaurants.  An estimated 4000 tourists visit Samoa every year via Faleolo international airport."
Ethnic Chinese in the Dominican Republic,"The Chinese community in the Dominican Republic forms one of the largest Chinese communities in Latin America.  Although no official census has been made, there are estimates of approximately 50,000 people of Chinese origin living in the country, Chinese descendants living the Dominican Republic may be referred as Chinese Dominicans.  There are also Chinese nationals living in the Dominican Republic."
Chinese people in Kyrgyzstan,"Chinese people in Kyrgyzstan have been growing in numbers since the late 1980s.  2008 police statistics showed 60,000 Chinese nationals living in the country.  However, the 2009 census showed just 1,813 people who declared themselves to be of Chinese ethnicity."
Huamao International School,"Ningbo Huamao International School (NBHIS, ), previously known as Multicultural Education Academy (MEA), is a school for international, expatriate students and Chinese nationals in Yinzhou district, Ningbo, Zhejiang, China.  The school opened its doors in 2006 on the grounds of Huamao Foreign Language School.  It is in the fast developing Yinzhou District next to Wanda Plaza and close to the University of Nottingham Ningbo Campus.  Hua Mao Foreign Language School is a primary, middle and senior school of 5,000 students.  NBHIS has 750 students and more than 150 teaching staff from over 35 countries.  The school is co-educational and open to both boarding and day students.  The students are split into three groups: several hundred doing the IB programmes leading to tertiary options around the world, around 80 foreign students doing the HSK for entry into Chinese universities, and 100 Chinese students in Sino-Canadian and Sino-American programs.  In October 2015 the school became a member of the Round Square Conference of Schools following Board approval at the global conference held at United World College of South East Asia (UWSEA)."
Imperial Japanese Army,"The Imperial Japanese Army (IJA; 大日本帝國陸軍 ""Dai-Nippon Teikoku Rikugun""; ""Army of the Greater Japanese Empire"") was the official ground-based armed force of the Empire of Japan from 1868 to 1945.  It was controlled by the Imperial Japanese Army General Staff Office and the Ministry of War, both of which were nominally subordinate to the Emperor of Japan as supreme commander of the army and the navy.  Later an Inspectorate General of Aviation became the third agency with oversight of the army.  During wartime or national emergencies, the nominal command functions of the emperor would be centralized in an Imperial General Headquarters (IGHQ), an ad-hoc body consisting of the chief and vice chief of the Army General Staff, the Minister of War, the chief and vice chief of the Naval General Staff, the Inspector General of Aviation, and the Inspector General of Military Training."
"Anguilla, U.S. Virgin Islands",Anguilla is a settlement on the island of Saint Croix in the United States Virgin Islands.  It is located immediately east of Henry E. Rohlsen Airport.
Hummingbird Air,"Hummingbird Air is an airline offering scheduled and chartered air taxi services as well as cargo flights in the Caribbean.  It is based at Henry E. Rohlsen Airport on the island of St. Croix, U.S. Virgin Islands.  The airline was founded in late 2013 by Sam Raphael, a Dominican hotelier who wanted to improve air service to Dominica.  As of May 2016, Hummingbird Air serves five destinations in the Caribbean with a fleet of three Beechcraft Model 99 aircraft."
U.S. Virgin Islands Highway 66,"U.S. Virgin Islands Highway 66 is a major east—west arterial on St. Croix in the United States Virgin Islands and is named the Melvin H. Evans Highway in honor of the territory's first elected governor.  It is one of the few divided highways in a territory with the distinction of being the only US jurisdiction to drive on the left.  It is also the fastest road on the island—and in the territory—with a 55 mph speed limit for passenger vehicles (except buses) and a 40 mi/h limit for heavy trucks and buses.  All junctions are at-grade, there are stoplights with connecting roads, and driveway access is limited by default in the territory but the highway is not explicitly classified as an expressway.  It is an important intermediate link between locations on the southern coast, including an oil refinery of the Hess Corporation and the Henry E. Rohlsen International Airport, and the island's principal towns Christiansted and Frederiksted.  The highway travels through areas of mostly lighter development and has multiple spurs and other intersections connecting to parallel roads and smaller communities.  St. Croix has no single encircling route so the highway is one of the most heavily used."
Southwest Florida International Airport,"Southwest Florida International Airport (IATA: RSW, ICAO: KRSW, FAA LID: RSW) is a county-owned airport in the South Fort Myers region of unincorporated Lee County, Florida.  The airport's market is Southwest Florida: Bonita Springs, Cape Coral, Captiva Island, Estero, Fort Myers, Marco Island, Naples and Sanibel Island.  In 2015 passengers numbered 8,371,801.  The airport is the second busiest single-runway airport in the United States after San Diego International Airport.  It is a U.S. Customs and Border Protection port of entry."
Capt. Henry E. Sewall House,"The Capt. Henry E. Sewall House is an historic wooden house now located in Indian RiverSide Park in Jensen Beach, in Martin County, Florida.  Local pioneer and developer Capt. Henry E. Sewall built it in 1889 at the southern tip of Sewall's Point, the peninsula and town which bear his family name.  When Capt. Sewall became the postmaster of Sewall's Point, the house served also as the Sewall's Point post office.  Next to the house Capt. Sewall also built a freight dock that extended into the St. Lucie River along with a storage building at its end."
Henry E. Rohlsen Airport,"Henry E. Rohlsen Airport (IATA: STX, ICAO: TISX, FAA LID: STX) is a public airport located six miles (10 km) southwest of Christiansted on the island of St. Croix in the United States Virgin Islands.  The airport is named after Henry E. Rohlsen, a St. Croix native who was one of the Tuskegee Airmen during World War II."
"Gateway, Florida","Gateway is a census designated place (CDP) in Lee County, Florida, United States.  The population was 2,943 at the 2000 census.  It is part of the Cape Coral-Fort Myers, Florida Metropolitan Statistical Area.  The community is located just north of Southwest Florida International Airport."
Tallahassee International Airport,"Tallahassee International Airport (IATA: TLH, ICAO: KTLH, FAA LID: TLH) is a city-owned airport five miles southwest of downtown Tallahassee, in Leon County, Florida.  It serves the state capital of Florida, and its surrounding areas; it is one of the major airports in north Florida, the others being Pensacola International Airport, Northwest Florida Beaches International Airport, and Jacksonville International Airport."
Florida State Road 876,"Daniels Parkway, originally known as State Road 876 (SR 876), runs from Tamiami Trail (U.S. Highway 41, US 41) in Fort Myers to SR 82 in Lehigh Acres.  FDOT still maintains a small strip of road only slightly more than 1/2 mi long.  SR 876 intersects Interstate 75 (I-75) and serves a nearby rest stop.  Daniels Parkway is the main artery serving Southwest Florida International Airport."
"Fort Myers, Florida","Fort Myers is the county seat and commercial center of Lee County, Florida, United States.  As of the 2010 census, the city population was 62,298 and in 2016 an estimate of 77,146.  Fort Myers is a gateway to the Southwest Florida region and a major tourist destination within Florida.  The winter homes of Thomas Edison (""Seminole Lodge"") and Henry Ford (""The Mangoes"") are a primary tourist attraction in the region.  The city is named after Colonel Abraham Myers.  The geographic statistical area is serviced by Southwest Florida International Airport (RSW), located southeast of the city."
Micro venture capital,"Micro venture capital is money invested to seed early-stage emerging companies with amounts of finance that is typically less than that of traditional venture capital.  In contrast to traditional venture capital which is money used to invest in companies looking to fund growth (also referred to as a Series A round of funding), micro venture capital consists of smaller seed investments, typically between $25K to $500K, in companies that have yet to gain traction.  In the United States, the number of micro venture capital firms have continued to rise rapidly over the last 5 years, and have become an important source of finance for startup companies."
Xerox 500 series,"The Xerox 500 series was a line of computers from Xerox Data Systems (XDS) introduced in the early 1970s as backward-compatible upgrades for the Sigma series machines.  The systems had failed to gain traction by the time Xerox sold its Data Systems Division in 1975.  The buyer, Honeywell, Inc., continued to support existing 500-series systems until 1984 but discontinued manufacturing."
Hans Knirsch,"Hans Knirsch (September 14, 1877, Triebendorf – December 6, 1933, Duchcov) was an Austro-German activist from Moravia for Austrian National Socialism.  After the breakup of the Austro-Hungarian Empire, he led the original party in Bohemia, called the Sudeten German National Socialist Party.  Together with Rudolf Jung and Hans Krebs, he was one of the original core of National Socialists that remained in the Nazi Party after 1933."
Bent edge,Bent edge or curved edge was an offshoot of hardcore punk that was formed to be a counter-movement to straight edge at the time straight edge was starting to gain traction and support.  Bent edge was also part of a rising anti-Dischord sentiment among many people in the punk scene.
LaserDisc,"LaserDisc (abbreviated as LD) is a home video format and the first commercial optical disc storage medium, initially licensed, sold and marketed as MCA DiscoVision in North America in 1978.  Although the format was capable of offering higher-quality video and audio than its consumer rivals, VHS and Betamax videotape, LaserDisc never managed to gain widespread use in North America, largely due to high costs for the players and video titles themselves and the inability to record TV programs.  It was not a popular format in Europe and Australia when first released but eventually did gain traction in these regions to become popular in the 1990s.  By contrast, the format was much more popular in Japan and in the more affluent regions of Southeast Asia, such as Hong Kong, Singapore and Malaysia, and was the prevalent rental video medium in Hong Kong during the 1990s.  Its superior video and audio quality made it a popular choice among videophiles and film enthusiasts during its lifespan.  The technologies and concepts behind LaserDisc were the foundation for later optical disc formats including Compact Disc (CD), DVD and Blu-ray (BD)."
Multimodality,"In its most basic sense, multimodality is a theory of communication and social semiotics.  Multimodality describes communication practices in terms of the textual, aural, linguistic, spatial, and visual resources - or modes - used to compose messages.  Where media are concerned, multimodality is the use of several modes (media) to create a single artifact.  The collection of these modes, or elements, contributes to how multimodality affects different rhetorical situations, or opportunities for increasing an audience's reception of an idea or concept.  Everything from the placement of images to the organization of the content creates meaning.  This is the result of a shift from isolated text being relied on as the primary source of communication, to the image being utilized more frequently in the digital age.  While multimodality as an area of academic study did not gain traction until the twentieth century, all communication, literacy, and composing practices are and always have been multimodal."
"David Duke presidential campaign, 1988","David Duke, a Grand Wizard in the Ku Klux Klan and notable perennial candidate, was a candidate for President of the United States in the 1988 election.  His run was notable in that after failing to gain traction in the Democratic primaries he switched and became the candidate for the Populist Party and he won the 1988 New Hampshire Vice-Presidential primary."
Alexander McCormick Sturm,"Alexander McCormick ""Alex"" Sturm (June 23, 1923 – November 16, 1951) was an American artist, author, and entrepreneur who co-founded in 1949, the American firearm maker, Sturm, Ruger & Co. Sturm provided the start-up money and designed the Germanic heraldic eagle that is found on Ruger guns.  He was the husband of Paulina Longworth.  Sturm came from a prominent Connecticut family, and his wealthy mother was of the McCormick mercantile family.  He was a Yale University graduate.  Not long after the company had begun to succeed financially and gain traction, Sturm died from viral hepatitis."
