id,title,text
1107,Frank Richardson (director),"Frank Atwood Richardson( 1898–1962) was an American film director and screenwriter. In the 1920s and 1930s he worked in Britain, directing several quota quickies including"" Do n't Be a Dummy""( 1932)."
1108,Space Marines (film),Space Marines is a 1996 film directed by John Weidner.
1109,Ben Barzman,"Ben Barzman (October 12, 1910 – December 15, 1989) was a Canadian journalist, screenwriter, and novelist, blacklisted during the McCarthy Era and best known for his screenplays for the films ""Back to Bataan"" (1945), ""El Cid"" (1961), and ""The Blue Max"" (1966)."
1110,Magenta (film),Magenta is a 1996 film by Gregory Haynes.
1111,Chhota Bheem Aur Krishna,"Chhota Bheem & Krishna is an Indian animated movie featuring Bheem, the star of the ""Chhota Bheem"" series, and Krishna, the star of the formerly broadcast popular animated television series ""Krishna Aur Balram"". It is the first Indian animated film in which two major characters from two different series are featured."
1112,Star of India,The Star of India may refer to:
1113,Alpuente,"Alpuente is a town and municipality in the province of Valencia, part of Valencia, Spain."
1114,The Star of Bethlehem (2007 film),"The Star of Bethlehem is a 2007 documentary by Frederick A."" Rick"" Larson to show what he found when he searched for clues about the Star of Bethlehem. Larson used the Starry Night astronomy computer program along with an article written by astronomer Craig Chester; based in part on the work of Ernest Martin. Larson also used details from the Christian Bible to find nine data points about the Star of Bethlehem which, according to the second chapter of the Gospel of Matthew, stopped over Bethlehem, bringing the Magi to Jesus."
1115,Battle of Valencia,Battle of Valencia may refer to:
1116,The Star of Valencia (French-language film),"The Star of Valencia( French: L'étoile de Valencia) is a 1933 drama film directed by Serge de Poligny and starring Brigitte Helm, Jean Gabin and Simone Simon. It was the French- language version of the German film"" The Star of Valencia"". Such multi-language versions were common in the era before dubbing became widespread. While made by largely the same crew except the director, it features a completely different cast. It was produced by UFA at the Babelsberg Studios, and distributed by the company's French subsidiary L'Alliance Cinématographique Européenne. The film's sets were designed by the art director Otto Hunte. It incorporated footage shot on location in Mallorca from the German film."
1117,The Commuters,"The Commuters is an extant 1915 silent film comedy directed by George Fitzmaurice and starring Irene Fenwick in film debut. It is based on a 1910 Broadway play,"" The Commuters"", by James Forbes. A copy of the film is held in the Library of Congress collection."
1118,"Star of South Africa, Grand Cross","The Star of South Africa, Grand Cross, post-nominal letters SSA, is the senior decoration of five non-military classes of the Order of the Star of South Africa, a South African Military Order that was instituted by the Republic on 1 July 1975. The Order of the Star of South Africa was discontinued in 2002."
1119,"Star of South Africa, Officer","The Star of South Africa, Officer( post- nominal letters OSSA) is the fourth- ranked decoration of five non-military classes of the Order of the Star of South Africa, a South African military order that was instituted by the Republic on 1 July 1975. The Order of the Star of South Africa was discontinued in 2002."
1120,The Star of Valencia,"The Star of Valencia is a 1933 German drama film directed by Alfred Zeisler and starring Liane Haid, Peter Erkelenz and Ossi Oswalda. It was made in Mallorca, at the same time as a French- language version"" The Star of Valencia"" directed by Serge de Poligny. It was made at the Babelsberg Studios in Berlin. The film's sets were designed by the art director Otto Hunte. Location shooting took place in Mallorca and Valencia."
1121,Fun in the Streets,Fun in the Streets is a 1969 Danish comedy film directed by Carl Ottosen and starring Dirch Passer.
1122,Logan Sandler,"Logan Sandler is an American writer and director who is best known for his first feature film"" Live Cargo""."
1123,J. Sasikumar,"Nambiathusseril Varkey John( 14 October 1927 – 17 July 2014), better known by his screen name Sasikumar, was an Indian film director who worked in Malayalam cinema. One of the most prolific directors in world cinema, he has directed more than 141 films in his career which began in the mid-1960s. He is often referred to as Hitmaker Sasikumar due to the commercial success of his films. Sasikumar holds three world records: the records for most films( 141), most films having the same actor as hero( Prem Nazir in 84 films) and the most films directed in a year( 15 films in 1977). He died in 2014 at the age of 86."
1124,Poonthenaruvi,"Poonthenaruvi is a 1974 Indian Malayalam film, directed by J. Sasikumar and produced by C. C. Baby and V. M. Chandi. The film stars Prem Nazir, Nanditha Bose, Vincent, Sudheer and Jayan. The music score is by M. K. Arjunan."
1125,Maurice Tourneur,Maurice Tourneur (2 February 1876 – 4 August 1961) was a French film director and screenwriter.
1126,Scotty Fox,Scott Fox is a pornographic film director who is a member of the AVN Hall of Fame.
1127,Fun in the Barracks,"Fun in the Barracks( French: Les Gaîtés de l'escadron or Les Gaietés de l'escadron) is a 1932 French comedy film directed by Maurice Tourneur and starring Raimu, Jean Gabin and Fernandel. It was based on a play by Georges Courteline and Edouard Nores. Tourneur was remaking the story, having previously filmed a silent version in 1913. The film was one of the most expensive made by Tourneur and was a popular commercial hit."
1128,Dan Milne,"Dan Milne is a British actor/ director who is possibly best known for his role in"" EastEnders""."
1129,Elliot Silverstein,"Elliot Silverstein( born August 3, 1927, in Boston, Massachusetts) is an American director, who is best known for being the director of the movie"" Cat Ballou""( 1965)."
1130,Ben Palmer,"Ben Palmer is a British film and television director who is known for being the director of"" Bo' Selecta"" and"" The Inbetweeners""."
1131,S. N. Mathur,S.N. Mathur was the Director of the Indian Intelligence Bureau between September 1975 and February 1980. He was also the Director General of Police in Punjab.
1132,Jesse E. Hobson,"Jesse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955. Prior to SRI, he was the director of the Armour Research Foundation."
1133,Jerome Storm,"Jerome Storm (November 11, 1890 – July 10, 1958) was an American film director, actor and writer. He acted in 48 films between 1914 and 1941 and directed 47 films between 1918 and 1932. He was born in Denver, Colorado, and died in Desert Hot Springs, California."
1134,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
1135,Peter Levin,"Peter Levin is an American director of film, television and theatre."
1136,Jason Moore (director),"Jason Moore( born October 22, 1970) is an American director of film, theatre and television."
1137,Brian Kennedy (gallery director),"Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004."
1138,The Village Sleuth,"The Village Sleuth is a 1920 American silent comedy drama film directed by Jerome Storm and written by Agnes Christine Johnston. The film stars Charles Ray, Winifred Westover, Dick Rush, Donald MacDonald, George Hernandez, and Betty Schade. The film was released on September 12, 1920, by Paramount Pictures. A copy of the film is in the Gosfilmofond film archive."
1139,Dana Blankstein,"Dana Blankstein- Cohen( born March 3, 1981) is the director of the Israeli Academy of Film and Television. She is a film director, and an Israeli culture entrepreneur."
1140,Ian Barry (director),Ian Barry is an Australian director of film and TV.
1141,"Albert V, Prince of Anhalt-Dessau","Albert V, Prince of Anhalt- Dessau( died ca. 1469) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. He was the fifth son of Sigismund I, Prince of Anhalt- Dessau, by his wife Judith, daughter of Gebhard XI, Count of Querfurt."
1142,Eleonore Dorothea of Anhalt-Dessau,"Eleonore Dorothea of Anhalt- Dessau( born 16 February 1602 in Dessau – died: 26 December 1664 in Weimar), was a princess of Anhalt- Dessau by birth and by marriage Duchess of Saxe- Weimar."
1143,Countess Henriette Catherine of Nassau,"Henriette Catherine of Nassau (10 February 1637 – 3 November 1708) was princess consort of Anhalt-Dessau by marriage to John George II, Prince of Anhalt-Dessau, and regent of Anhalt-Dessau from 1693 to 1698 during the minority (and then the absence) of her son Leopold I, Prince of Anhalt-Dessau."
1144,William Gustav of Anhalt-Dessau,"William Gustav of Anhalt- Dessau( 20 June 1699 – 16 December 1737) was a German prince of the House of Ascania and heir to the principality of Anhalt- Dessau. He was born in Dessau, the eldest son of Leopold I, Prince of Anhalt- Dessau, by his morganatic wife Anna Louise Föhse."
1145,Prince George Bernhard of Anhalt-Dessau,"George Bernhard of Anhalt-Dessau (21 February 1796 – 16 October 1865), was a German prince of the House of Ascania from the Anhalt-Dessau branch. He was born in Dessau, the second son of Frederick, Hereditary Prince of Anhalt-Dessau, by his wife Landgravine Amalie of Hesse-Homburg, daughter of Frederick V, Landgrave of Hesse-Homburg."
1146,Minamoto no Chikako,She was the mother of Prince Morinaga.
1147,"George I, Prince of Anhalt-Dessau","George I, Prince of Anhalt- Dessau( – 21 September 1474), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. He was the second son of Sigismund I, Prince of Anhalt- Dessau, by his wife Judith, daughter of Gebhard XI, Count of Querfurt."
1148,Princess Amalie of Hesse-Homburg,"Princess and Landgravine Christiane ""Amalie"" of Hesse-Homburg, full German name: ""Christiane Amalie, Landgräfin von Hessen-Homburg"" (29 June 1774, Bad Homburg vor der Höhe, Landgraviate of Hesse-Homburg, Holy Roman Empire – 3 February 1846, Dessau, Duchy of Anhalt-Dessau) was a member of the House of Hesse-Homburg and a Princess and Landgravine of Hesse-Homburg by birth. Through her marriage to Frederick, Hereditary Prince of Anhalt-Dessau, Amalie was also a member of the House of Ascania and Hereditary Princess of Anhalt-Dessau."
1149,"Sigismund II, Prince of Anhalt-Dessau","Sigismund II, Prince of Anhalt- Dessau( died aft. 22 May 1452) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. He was the fourth son of Sigismund I, Prince of Anhalt- Dessau, by his wife Judith, daughter of Gebhard XI, Count of Querfurt."
1150,Henrietta Catherine Agnes of Anhalt-Dessau,"Henrietta Catherine Agnes of Anhalt- Dessau( born 5 June 1744 in Dessau; died: 15 December 1799 in Dessau) was a princess of Anhalt- Dessau by birth, Dean of Herford Abbey and by marriage Baroness of Loën."
1151,Melville Shyer,"Melville Jacob Shyer (September 28, 1895 – September 14, 1968) was an American film director, screenwriter and producer and one of the founders of the Directors Guild of America. His career spanned over 50 years, during which he worked with Mack Sennett and D. W. Griffith. Shyer was born in Chattanooga, Tennessee, the son of Hattie (Schwarzenberg) and Charles Richard Shyer. His family was of German-Jewish background. His son is writer and director Charles Shyer."
1152,Peter Levin,"Peter Levin is an American director of film, television and theatre."
1153,Valerie Steele,"Valerie Fahnestock Steele( born 1955) is an American fashion historian, curator, and director of the Museum at the Fashion Institute of Technology. She was appointed director of the museum in 2003."
1154,Murder in Soho,"Murder in Soho is a 1939 British crime film directed by Norman Lee and starring Jack La Rue, Sandra Storme, Googie Withers and Bernard Lee. It concerns a murder in the Central London district of Soho. The film was released in the U.S. as Murder in the Night."
1155,The Murder in the Museum,The Murder in the Museum is a 1934 American film directed by Melville Shyer. The film is also known as The Five Deadly Vices (American reissue title).
1156,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
1157,Jesse E. Hobson,"Jesse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955. Prior to SRI, he was the director of the Armour Research Foundation."
1158,Brian Kennedy (gallery director),"Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004."
1159,Rachel Wade,"Rachel Wade( born February 27, 1990) is an American woman who was convicted of murder in the second degree in the murder of Sarah Ludemann."
1160,Ian Barry (director),Ian Barry is an Australian director of film and TV.
1161,The Beautiful Adventure (1932 German-language film),"The Beautiful Adventure  s a 1932 German romantic comedy film directed by Reinhold Schünzel and starring Käthe von Nagy, Wolf Albach-Retty and Alfred Abel. The film's sets were designed by the art director Werner Schlichting. A separate French language version was also made."
1162,Peter Levin,"Peter Levin is an American director of film, television and theatre."
1163,Reinhold Schünzel,"Reinhold Schünzel (7 November 1888 – 11 November 1954) was a German actor and director, active in both Germany and the United States. The son of a German father and a Jewish mother, he was born in St. Pauli, the poorest part of Hamburg. Despite being Jewish, Schünzel was allowed by the Nazis to continue making films for several years until he eventually left to live abroad."
1164,The Beautiful Adventure (1932 French-language film),"The Beautiful Adventure is a 1932 German French- language romantic comedy film directed by Roger Le Bon and Reinhold Schünzel and starring Jean Périer, Paule Andral and Daniel Lecourtois. It is a French- language version of the German film"" The Beautiful Adventure"". As was common at the time, the two films were shot in completely different versions with major changes to the cast and some scenes."
1165,Ian Barry (director),Ian Barry is an Australian director of film and TV.
1166,The Beautiful Adventure (1959 film),"The Beautiful Adventure is a 1959 West German comedy film directed by Kurt Hoffmann and starring Liselotte Pulver, Robert Graf and Bruni Löbel. It was shot at the Bavaria Studios in Munich. The film's sets were designed by the art director Robert Herlth."
1167,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
1168,The Beautiful Adventure (1942 film),"The Beautiful Adventure( French: La Belle aventure) is a 1942 French romantic comedy film directed by Marc Allégret and starring Claude Dauphin, Micheline Presle and Louis Jourdan. It is based on a play by Gaston Arman de Caillavet, Robert de Flers and Étienne Rey. The film's sets were designed by the art director Paul Bertrand."
1169,Brian Kennedy (gallery director),"Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004."
1170,The Beautiful Adventure (1917 film),"The Beautiful Adventure is a 1917 American silent drama film starring Ann Murdock, a stage star. The film is based on a Broadway stage play"" The Beautiful Adventure"" that had starred Murdock on Broadway. The film was directed by Dell Henderson and released through the Mutual Film company. It is a lost film."
1171,Abhishek Saxena,"Abhishek Saxena is an Indian Bollywood and Punjabi film director who directed the movie Phullu. The Phullu movie was released in theaters on 16 June 2017, in which film Sharib Hashmi is the lead role. Apart from these, he has also directed Patiala Dreamz, this is a Punjabi film. This film was screened in cinemas in 2014."
1172,Brian Kennedy (gallery director),"Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004."
1173,Elliot Silverstein,"Elliot Silverstein( born August 3, 1927, in Boston, Massachusetts) is an American director, who is best known for being the director of the movie"" Cat Ballou""( 1965)."
1174,Drew Esocoff,"Drew Esocoff( born c. 1957) is an American television sports director, who as of 2006 has been the director of NBC Sunday Night Football."
1175,Ben Palmer,"Ben Palmer is a British film and television director who is known for being the director of"" Bo' Selecta"" and"" The Inbetweeners""."
1176,Thenum Vayambum,"Thenum Vayambum is a 1981 Malayalam film directed by Ashok Kumar, starring Nedumudi Venu, Prem Nazir and Sumalatha in the leading roles, along with Mohanlal and Rani Padmini."
1177,G. Marthandan,G. Marthandan is an Indian film director who works in Malayalam cinema.
1178,Ashok Kumar,"Ashok Kumar( 13 October 1911 – 10 December 2001), born Kumudlal Ganguly, and also fondly called Dadamoni, was an Indian film actor who attained iconic status in Indian cinema. He was honoured in 1988 with the Dadasaheb Phalke Award, the highest national award for cinema artists, by the Government of India and also received the Padma Bhushan in 1999 for his contributions to Indian cinema. He is considered to be one of India's finest actors ever, playing leading, antagonist and character roles with equal panache."
1179,Tap Roots,"Tap Roots is a 1948 Technicolor Western war film set during the American Civil War. It is very loosely based on the true life story of Newton Knight, a farm owner who attempted to secede Jones County from Mississippi. Made by Walter Wanger Productions and Universal Pictures, it was directed by George Marshall and produced by Walter Wanger from a screenplay by Alan Le May, based on the 1942 novel"" Tap Roots"" by James H. Street, with additional dialogue by Lionel Wiggam. The original music was by Frank Skinner and the cinematography by Winton C. Hoch and Lionel Lindon. The film stars Van Heflin and Susan Hayward with Boris Karloff, Julie London, Whitfield Connor, Ward Bond and Richard Long. A radio version of"" Tap Roots"", with Van Heflin, Susan Hayward and Richard Long reprising their film roles, was broadcast by the Lux Radio Theatre on September 27, 1948."
1180,George Marshall (director),"George E. Marshall (December 29, 1891 – February 17, 1975) was an American actor, screenwriter, producer, film and television director, active through the first six decades of film history. Relatively few of Marshall's films are well-known today, with ""Destry Rides AgainThe Blue DahliaThe Sheepman"", and ""How the West Was Won"" being the biggest exceptions. Marshall co-directed "" How the West Was Won"" with John Ford and Henry Hathaway, handling the railroad segment, which featured a celebrated buffalo stampede sequence. While Marshall worked on almost all kinds of films imaginable, he started his career in the early silent period doing mostly Westerns, a genre he never completely abandoned. In the 1930s, he established a reputation for comedy, directing Laurel and Hardy in three classic films, and also working on a variety of comedies for Fox (Many of his films at Fox were destroyed in a vault fire in 1937). Later in his career, he was particularly sought after for comedies. He did around half a dozen films each with Bob Hope and Jerry Lewis, and also worked with W. C. Fields, Jackie Gleason, and Will Rogers."
1181,Archduke Hubert Salvator of Austria,"Archduke Hubert Salvator of Austria, Prince of Tuscany( 30 April 1894 in Schloss Lichtenegg, Wels, Upper Austria, Austria –Hungary – 24 March 1971 in Schloss Persenbeug, Persenbeug- Gottsdorf, Lower Austria, Austria) was a member of the Tuscan line of the House of Habsburg and Archduke of Austria, Prince of Tuscany by birth."
1182,Infanta Blanca of Spain,"Infanta Blanca of Spain (7 September 1868 – 25 October 1949) was the eldest child of Carlos, Duke of Madrid, Carlist claimant to the throne of Spain and his wife Princess Margherita of Bourbon-Parma. Blanca was a member of the House of Bourbon and - according to the Carlists - an Infanta of Spain by birth. In 1889 she married Archduke Leopold Salvator of Austria. The couple had ten children. The family left Austria after the end of the Monarchy and finally settled in Barcelona. When the male line of Blanca's family died out at the death of her uncle, Alfonso Carlos, Duke of San Jaime, some of the Carlists recognized her as the legitimate heiress to the Spanish throne."
1183,Archduke Rainer of Austria (1895–1930),"Archduke Rainer of Austria;( 21 November 1895 – 25 May 1930) was a member of the House of Habsburg- Lorraine, a member of the Tuscan branch of the Imperial House of Habsburg, an Archduke of Austria and Prince of Tuscany by birth. He was the eldest son Archduke Leopold Salvator of Austria, Prince of Tuscany. He served as officer in the Austrian army during World War I. At the fall of the Habsburg dynasty, he remained in Vienna and worked for a time as taxi driver. He died unmarried at the age of 34 from blood- poisoning."
1184,"Archduke Leopold of Austria, Prince of Tuscany","Archduke Leopold Maria of Austria, Prince of Tuscany (born in Zagreb 30 January 1897 - died Willimantic, Connecticut 14 March 1958) was the second son of Archduke Leopold Salvator, Prince of Tuscany and Infanta Blanca of Spain. At the fall of Habsburg monarchy he remained in Austria and recognized the new republic in order to marry Dagmar, Baroness von Nicolics-Podrinska. The couple had one daughter. After divorcing his wife in 1931, Leopold eventually emigrated to the United States where he became a naturalized American citizen under the name Leopold Lorraine, and where he remarried. He died in 1958 in Connecticut."
1185,Archduke Stefan of Austria,"Archduke Stefan of Austria, Prince of Tuscany( 15 August 1932 in Mödling, Lower Austria, Austria – 12 November 1998 in Brighton, Michigan, United States) was a member of the House of Habsburg an Archduke and Prince of Tuscany by birth. Stefan was the eldest child and son of Archduke Anton of Austria and his wife Princess Ileana of Romania."
1186,"Archduke Karl Pius of Austria, Prince of Tuscany","Archduke Karl Pius of Austria, Prince Royal of Hungary and Bohemia, Prince of Tuscany( 4 December 1909 – 24 December 1953), called"" Carlos Pío de Habsburgo- Lorena y de Borbón"" in Spain, was a member of the Tuscan branch of the Imperial House of Habsburg and a Carlist claimant to the throne of Spain under the assumed name of"" Carlos VIII"". He was the tenth and youngest child of Archduke Leopold Salvator, Prince of Tuscany and Infanta Blanca of Spain."
1187,Archduke Leopold Franz of Austria,"Archduke Leopold Franz of Austria( born 25 October 1942 at Schloss Leutstetten in Starnberg, Bavaria, Nazi Germany) was a member of the Tuscan line of the House of Habsburg- Lorraine and Archduke and Prince of Austria, Prince of Hungary, Bohemia, and Tuscany by birth. Leopold Franz was the titular Grand Duke of Tuscany from 21 January 1984 to 18 June 1993."
1188,Archduchess Dolores of Austria,"Archduchess Dolores of Austria;( 5 May 1891 – 10 April 1974) was a daughter of Archduke Leopold Salvator of Austria. She was member of the Tuscan branch of the Imperial House of Habsburg, an Archduchess of Austria and Princess of Tuscany by birth. After the fall of the Austro Hungary Empire, she lived under reduced circumstances with her family in Spain, Austria, and Italy. She died unmarried."
1189,Archduke Anton of Austria,"Archduke Anton of Austria (Anton Maria Franz Leopold Blanka Karl Joseph Ignaz Raphael Michael Margareta Nicetas von Habsburg-Lorraine; Vienna, 20 March 1901 – Salzburg, 22 October 1987) was an Archduke of Austria and Prince of Tuscany. He was the seventh of ten children born to Archduke Leopold Salvator of Austria, Prince of Tuscany, and Infanta Blanca of Spain, daughter of Carlos, Duke of Madrid."
1190,Archduke Markus Emanuel Salvator of Austria,"Archduke Markus Emanuel Salvator of Austria( born 2 April 1946 in Schloss Persenbeug, Persenbeug- Gottsdorf, Lower Austria, Austria) is a member of the Tuscan line of the House of Habsburg and Archduke of Austria, Prince of Tuscany by birth."
1191,Lloyd (film),"Lloyd is a 2001 American comedy film. The film was released on May 4, 2001."
1192,May Lamok sa Loob ng Kulambo,"May Lamok sa Loob ng Kulambo is a 1984 Philippine comedy film directed by, and produced by Hirene Lopez and Danny L. Zialcita as the film's executive producer. The film stars Gloria Diaz, Eddie Garcia, Amy Austria, and Tommy Abuel. The film was released in 1984 by Essex Films. Another related film called,"" May Daga sa Labas ng Lungga"", was released earlier in the same year."
1193,Mathru Devata,"Mathru Devata( English: Mother) is a 1969 Telugu drama film, produced by Atluri Purnachandra Rao and M. Chandra Sekhar under the Poorna Art Pictures banner and directed by Savitri. It stars N. T. Rama Rao, Savitri in the lead roles and music composed by K. V. Mahadevan."
1194,The Wonderful World of Captain Kuhio,The film was released in Japan on 10 October 2009.
1195,Royal Tramp II,"Royal Tramp II is a 1992 Hong Kong film based on Louis Cha's novel"" The Deer and the Cauldron"". The film is a sequel to"" Royal Tramp"", which was released earlier in the same year."
1196,Greater Than a Crown,"Greater Than a Crown is a 1925 American silent romantic comedy film directed by Roy William Neill and starring Edmund Lowe, Dolores Costello and Margaret Livingston. It was based on a novel by the British writer Victor Bridges."
1197,Coney Island Baby (film),"Coney Island Baby is a 2003 comedy- drama in which film producer Amy Hobby made her directorial debut. Karl Geary wrote the film and Tanya Ryno was the film's producer. The music was composed by Ryan Shore. The film was shot in Sligo, Ireland, which is known locally as"" Coney Island"". The film was screened at the Newport International Film Festival. Hobby won the Jury Award for"" Best First Time Director"". The film made its premiere television broadcast on the Sundance Channel."
1198,Invasion of the Neptune Men,"The film was released in 1961 in Japan and was later released in the United States on television. In 1998, the film was featured on an episode of"" Mystery Science Theater 3000""."
1199,Shirin Farhad (1931 film),"Shirin Farhad is a 1931 Hindi language musical film. It was the second Indian film with sound. It was based on the love story from the"" Shahnameh"" of Farhad and Shirin by Nizami Ganjavi. The film was directed by J.J. Madan and starred Nissar and Jehanara Kajjan. "" Alam Ara"" was released earlier the same year and was the first Indian film with sound."
1200,Rakka (film),The film was released on YouTube and Steam on 14 June 2017.
1201,Dreams of Love,Dreams of Love or Dream of Love may refer to:
1202,Melody of Love,Melody of Love or Melodies of Love may refer to:
1203,Harold French,"Harold French( 23 April 1897 – 19 October 1997) was an English film director, screenwriter and actor."
1204,Ivan Abramson,"Ivan Abramson (1869 – September 15, 1934) was a director of American silent films active in the 1910s and 1920s. Abramson emigrated to the United States from Russia in the 1880s and soon became involved in the Jewish newspaper field. In 1905, he founded an opera company. In 1914, he founded Ivan Film Productions to produce silent films, with the ""Sins of the Parents"" as his first release. In 1917, after success with pictures including ""One Law for Both"" and ""Enlighten Thy Daughter"", Abramson partnered with William Randolph Hearst to form the Graphic Film Corporation. Abramson's films feature melodramas with titillating titles such as ""Forbidden Fruit"" (1915) and ""A Child for Sale"" (1920), and sexual hygiene films such as ""The Sex Lure"" (1916) and ""Enlighten Thy Daughter"" (1917). Abramson's alliance ended with the 1919 release of ""The Echo of Youth"". In 1923, Abramson and Sidney M. Goldin directed ""East and West"", filmed in Austria and starring Molly Picon, and which had English and Yiddish subtitles. Abramson died on September 15, 1934 in New York at Mount Sinai Hospital, survived by his wife Liza Einhorn."
1205,Ashes of Love,Ashes of Love is a 1918 American silent drama film directed by Ivan Abramson and starring James K. Hackett and Effie Shannon. It was distributed on the State's Rights system.
1206,The Game of Love,Game of Love or The Game of Love may refer to:
1207,Colour of Love,Colour of Love or variants may refer to:
1208,Season of Love,Season of Love or Seasons of Love may refer to:
1209,English Without Tears,"English Without Tears is a 1944 British comedy film directed by Harold French and starring Michael Wilding, Penelope Dudley- Ward and Lilli Palmer. It was released in the U.S. under the title Her Man Gilbey, as a reference to the classic Screwball comedy,"" My Man Godfrey""( 1936)."
1210,The Power of Love,The Power of Love or Power of Love may refer to:
1211,Kabani Nadi Chuvannappol,"Kabani Nadi Chuvannappol("" When the River Kabani Turned Red"") is a 1975 Malayalam feature film directed by P. A. Backer, produced by Pavithran, and starring T. V. Chandran, Shalini, Raveendran and J. Siddiqui. This leftist political drama film came out during the Emergency period. It was the directorial debut of P. A. Backer, who won that year's awards for Best Director and Second Best Film at the Kerala State Film Awards. Pavithran, who later directed many critically acclaimed Malayalam films produced the film. T. V. Chandran, who also later went on to direct a bevy of award- winning films in Malayalam and Tamil, played the lead role. After certain post-production controversies, the film debuted in theatres on 16 July 1976."
1212,My Little Eye,"My Little Eye is a 2002 British horror film directed by Marc Evans about five adults who agree to spend six months together in an isolated mansion while being filmed at all times. The idea for the film came from reality television shows such as"" Big Brother"". The title refers to the guessing game I spy."
1213,Pheri Bhetaula,"Pheri Bhetaula ( English: See you again) is a 1989 Nepali romantic film. The cast includes the famous Bollywood star Manisha Koirala and Prakash Adhikari. After this movie Manisha Koirala started a career in Bollywood. The music of this movie was composed by Ranjit Gazmer Notable songs include"" Mohani maya ko ho ki?"" sung by Deepa Gahatraj( Jha) and Kumar Kaanchhaa. The interlude of this song contains a signature tune from' Hera na hera kaanchha' composed by Amber Gurung and sung by Aruna Lama and Jitendra Bardewa. Manoj Gurung( main child actor)"
1214,Andel Exit,"Andel Exit( also called as Angel Exit) is a 2000 Czech drama movie directed by Vladimír Michálek with Jan Cechticky and Klára Issová. The movie was based on the 1995 novel of Jáchym Topol named Anděl. The movie earned two Czech Lion Awards in 2000 for Best Design and Best Editing. The movie vividly depicts the former atmosphere and architecture around Anděl in the 1990s, before the progressive renovation of the neighbourhood. The efforts came to fruition in the early 2000s with the construction of Zlatý Anděl, a multi-purpose office and business development, followed by a shopping centre an many more new businesses."
1215,When the Mountains Tremble,"When The Mountains Tremble is a 1983 documentary film produced by Skylight Pictures about the war between the Guatemalan Military and the Mayan Indigenous population of Guatemala. Footage from this film was used as forensic evidence in the Guatemalan court for crimes against humanity, in the genocide case against Efraín Ríos Montt. The film centers on the experiences of Nobel Prize winner Rigoberta Menchú, a Quiché indigenous woman who won the Nobel Peace Prize in 1992, nine years after the film came out. "" When The Mountains Tremble"" won the Special Jury Award at the Sundance Film Festival, the Blue Ribbon Award at the American Film Festival, and the Grand Coral Award/ Best North American Documentary at the Havana Film Festival. A follow- up film was released in 2011, titled"" Granito: How to Nail a Dictator""."
1216,Life Is What You Make It (film),"Life Is What You Make It is a 2017 documentary film which explores the life of award- winning Filipino theatre producer Jhett Tolentino from his migration into the United States and his entry into theatre production in New York. The film came with a soundtrack album entitled"" Life Is What You Make It: Original Motion Picture Soundtrack""."
